Category,Question,Response
RBF-BKC update - 3,Reflashing the IFWI with corporate version on RBF system for IaaS WS3 demo,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Debug - 10,I cannot enter bios startup menu ,"You may try to boot to BIOS with command in OS. 
Sudo systemctl reboot --firmware-setup"
RBF-Peripheral - 3,[MTL-PS][CRB] Cluster id 68681 TTK3 is not working,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 1,65537 is not getting Powered On,"There is few possibility which causing board cannot boot up. 
1. Incorrect IFWI
2. Faulty Board 
3. Corrupted drive 
4. PDU Failure 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 6,PXE flashing is failed ,"There is few posibility which causing PXE flashing failure. 
1. Testbed data is not updated.
2. Lan cable is not connected to onboard NIC or NIC card.
3. SUT has not enable onboard NIC
4. Incorrect bootfile details in DDI. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-PDU - 1,[RPL-SR] Unable to power on/off SUT and THM on cluster 68349,"PDU IP might be not accessible or the PDU details in OneCloud is wrong. 

kindly file a ticket to RBF for further troubleshooting.  "
RBF-BKC update - 5,how to reflash NUC in OneCloud? ,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-Soft - 1,Not able to start GIO Client service and install GIO client properly in NUC 68269,"For software issue, 

please file a ticket to RBF. "
RBF-onecloud - 2,Prompt error when reserving cluster in onecloud,"It might cause with the OneCloud restricted reservation or there is incorrect ""Allowed User List"" details in OneCloud. 

Kindly file ticket to RBF for further troubleshooting. "
RBF-Silicon Change - 1,[BA] #65456 change silicon to XCC A1 VIS Q3AY (2s),"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Debug - 6,my PXE flashing is failed in my system ,"There is few posibility which causing PXE flashing failure. 
1. Testbed data is not updated.
2. Lan cable is not connected to onboard NIC or NIC card.
3. SUT has not enable onboard NIC
4. Incorrect bootfile details in DDI. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-Debug - 3,Automation Flashing with helper script for 68460,"To setup PXE flashing, these are the steps: 
1. Connect lan cable to onboard NIC or added NIC card (I210 with flashed opprom, I215, I216) 
2. Register new mac address to DDI and update details in OneCloud. 
3. Resync testbed data
4. Enable Onboard NIC in BIOS setting (Intel Advanced Menu > PCH-IO Configuration > EFI Network > Choose Onboard NIC & WIFI) 
5. Set your PXEv4 boot as your first boot up option. 
6. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform PXE flashing. 
"
RBF-Peripheral - 2,[PG]banino board is not connecting and usb blaster also not connecting for cluster 68259,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-BKC update - 5,method to reimage NUC ,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-onecloud - 1,onecloud information or details is wrong ,"To request correcting OneCloud Information or reservation, kindly file ticket to RBF. "
RBF-BKC update - 3,Enable system 68219 with M.2 NVME,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-KVM - 4,SmartKVM keyboard input not working,"Kindly remove and reconnect the SmartKVM in the host machine. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 3,Keyboard is not responding in SUT ID 535384,"To resolve this issue, you may try the steps below: 
1. Go to top bar, click ""Input"" drop down list.
2. Select Mouse Mode
3. Click on any mouse mode then revert it to original. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,BLR Isecl server with address 10.223.97.52 is down,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Inventory - 1,65517 [BA] connect 4 16GB 1R Hynix dimms,"For requesting add new device and item to the system, please file to check the inventory. "
RBF-Debug - 9,how to fix automation ifwi flashing ,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Silicon Change - 1,[HY]Enable system 66264 with 1 Socket VRAN CPU Q2VH and PCH QYKV,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-KVM - 1,Uanble to access KVM through BMC on 68229,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
Greetings,"Hi, I'm not sure about something.","yes, how may I help you? "
RBF-Peripheral - 3,TTK is not working cluster 68651,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Serial - 1,Request to Swap A RS232 serial IO cable @ cluster 68546,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 1,[PG][MTL-PS]Help to connect dediprog 68666 into SUT 68665,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,65238 silicon swap and IFWI update,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-BKC update - 2,Provisioning cluster 68152,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-Silicon Change - 1,Enable system 66267 with 2 Socket Mainline CPU Q3EW and PCH QYKV,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-KVM - 2,Not Able to Open KVM of 68532,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 4,Please remove the ITP from 65537,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Check ITP connection
3. Change USB port
4. Reinstall driver.
5. run python update_tools 
If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-KVM - 2,There is no KVM display ,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-New setup - 1,"[HY] 66403 Need to do PRC board setup and Banino, peripheral connections.",Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-Silicon Change - 1,[HY]Change PCH on Cluster 66247 to Q191,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Network - 1,[MCC][BA] SUT is unable to access in Cluster 65506,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
Greetings,"Hello, could you answer a question for me?","yes, how may I help you? "
RBF-New setup - 1,Create onecloud for 68560 & 68561,Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-Silicon Change - 1,To swap silicon on 4 ADL-N boards and update the cluster to ASL in OneCloud,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Peripheral - 2,Banino in 68208 is having issue to open. Please help to check,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 1,unable to login 68230,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 3,mouse and keyboard is not working in KVM ,"To resolve this issue, you may try the steps below: 
1. Go to top bar, click ""Input"" drop down list.
2. Select Mouse Mode
3. Click on any mouse mode then revert it to original. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 1,66325[HYD][DPMO]In Lady Brid Programmer only one port is detecting,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,Upgrade to silicon QDF Q21L for 68648 & 68649,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Peripheral - 4,[BA] No itp devices detected for the cluster 65246,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Check ITP connection
3. Change USB port
4. Reinstall driver.
5. run python update_tools 
If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-BKC update - 2,Request to install Ubuntu Enterprise Server 22.04 Version,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-Silicon Change - 1,[EMR][HYD] Swap QDF: Q3EW from 66201 to 66202,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-VNC - 1,[ADL-S] Unable to access host cluster #68498 thru VNC,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
